sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	run.accession
EA18-0297	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438266
EA18-0298	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive	2	FALSE	ERR9438267
EA18-0299	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438268
EA18-0300	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438269
EA18-0301	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438270
EA18-0302	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438187
EA18-0303	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438188
EA18-0304	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438189
EA18-0305	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438190
EA18-0307	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	1	60	alive		FALSE	ERR9438191
