sample_id	run_ena	irods_path	bam_path	cram_path	read1_path	read2_path
VBS54997-6781STDY12150115	ERR9438139	/seq/illumina/runs/44/44114/lane1/plex1/44114_1#1.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438139/ERR9438139_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438139/ERR9438139_2.fastq.gz
VBS54998-6781STDY12150116	ERR9438140	/seq/illumina/runs/44/44114/lane1/plex2/44114_1#2.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438140/ERR9438140_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438140/ERR9438140_2.fastq.gz
VBS54999-6781STDY12150117	ERR9438141	/seq/illumina/runs/44/44114/lane1/plex3/44114_1#3.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438141/ERR9438141_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438141/ERR9438141_2.fastq.gz
VBS55000-6781STDY12150118	ERR9438142	/seq/illumina/runs/44/44114/lane1/plex4/44114_1#4.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438142/ERR9438142_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438142/ERR9438142_2.fastq.gz
VBS55001-6781STDY12150119	ERR9438143	/seq/illumina/runs/44/44114/lane1/plex5/44114_1#5.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438143/ERR9438143_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438143/ERR9438143_2.fastq.gz
VBS55002-6781STDY12150120	ERR9438144	/seq/illumina/runs/44/44114/lane1/plex6/44114_1#6.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438144/ERR9438144_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438144/ERR9438144_2.fastq.gz
VBS55003-6781STDY12150121	ERR9438145	/seq/illumina/runs/44/44114/lane1/plex7/44114_1#7.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438145/ERR9438145_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438145/ERR9438145_2.fastq.gz
VBS55004-6781STDY12150122	ERR9438146	/seq/illumina/runs/44/44114/lane1/plex8/44114_1#8.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438146/ERR9438146_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438146/ERR9438146_2.fastq.gz
VBS55005-6781STDY12150123	ERR9438147	/seq/illumina/runs/44/44114/lane1/plex9/44114_1#9.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438147/ERR9438147_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438147/ERR9438147_2.fastq.gz
VBS55006-6781STDY12150124	ERR9438148	/seq/illumina/runs/44/44114/lane1/plex10/44114_1#10.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438148/ERR9438148_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438148/ERR9438148_2.fastq.gz
VBS55007-6781STDY12150125	ERR9438149	/seq/illumina/runs/44/44114/lane1/plex11/44114_1#11.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438149/ERR9438149_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438149/ERR9438149_2.fastq.gz
VBS55008-6781STDY12150126	ERR9438150	/seq/illumina/runs/44/44114/lane1/plex12/44114_1#12.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438150/ERR9438150_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438150/ERR9438150_2.fastq.gz
VBS55009-6781STDY12150127	ERR9438151	/seq/illumina/runs/44/44114/lane2/plex1/44114_2#1.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438151/ERR9438151_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438151/ERR9438151_2.fastq.gz
VBS55010-6781STDY12150128	ERR9438152	/seq/illumina/runs/44/44114/lane2/plex2/44114_2#2.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438152/ERR9438152_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438152/ERR9438152_2.fastq.gz
VBS55011-6781STDY12150129	ERR9438153	/seq/illumina/runs/44/44114/lane2/plex3/44114_2#3.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438153/ERR9438153_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438153/ERR9438153_2.fastq.gz
VBS55012-6781STDY12150130	ERR9438154	/seq/illumina/runs/44/44114/lane2/plex4/44114_2#4.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438154/ERR9438154_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438154/ERR9438154_2.fastq.gz
VBS55013-6781STDY12150131	ERR9438155	/seq/illumina/runs/44/44114/lane2/plex5/44114_2#5.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438155/ERR9438155_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438155/ERR9438155_2.fastq.gz
VBS55014-6781STDY12150132	ERR9438156	/seq/illumina/runs/44/44114/lane2/plex6/44114_2#6.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438156/ERR9438156_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438156/ERR9438156_2.fastq.gz
VBS55015-6781STDY12150133	ERR9438157	/seq/illumina/runs/44/44114/lane2/plex7/44114_2#7.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438157/ERR9438157_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438157/ERR9438157_2.fastq.gz
VBS55016-6781STDY12150134	ERR9438158	/seq/illumina/runs/44/44114/lane2/plex8/44114_2#8.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438158/ERR9438158_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438158/ERR9438158_2.fastq.gz
VBS55017-6781STDY12150135	ERR9438159	/seq/illumina/runs/44/44114/lane2/plex9/44114_2#9.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438159/ERR9438159_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438159/ERR9438159_2.fastq.gz
VBS55018-6781STDY12150136	ERR9438160	/seq/illumina/runs/44/44114/lane2/plex10/44114_2#10.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438160/ERR9438160_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438160/ERR9438160_2.fastq.gz
VBS55019-6781STDY12150137	ERR9438161	/seq/illumina/runs/44/44114/lane2/plex11/44114_2#11.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438161/ERR9438161_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438161/ERR9438161_2.fastq.gz
VBS55020-6781STDY12150138	ERR9438162	/seq/illumina/runs/44/44114/lane2/plex12/44114_2#12.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438162/ERR9438162_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438162/ERR9438162_2.fastq.gz
VBS55021-6781STDY12150139	ERR9515827	/seq/illumina/runs/44/44366/lane1/plex1/44366_1#1.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/007/ERR9515827/ERR9515827_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/007/ERR9515827/ERR9515827_2.fastq.gz
VBS55022-6781STDY12150140	ERR9515828	/seq/illumina/runs/44/44366/lane1/plex2/44366_1#2.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/008/ERR9515828/ERR9515828_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/008/ERR9515828/ERR9515828_2.fastq.gz
VBS55023-6781STDY12150141	ERR9515829	/seq/illumina/runs/44/44366/lane1/plex3/44366_1#3.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/009/ERR9515829/ERR9515829_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/009/ERR9515829/ERR9515829_2.fastq.gz
VBS55024-6781STDY12150142	ERR9515830	/seq/illumina/runs/44/44366/lane1/plex4/44366_1#4.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/000/ERR9515830/ERR9515830_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/000/ERR9515830/ERR9515830_2.fastq.gz
VBS55025-6781STDY12150143	ERR9515831	/seq/illumina/runs/44/44366/lane1/plex5/44366_1#5.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/001/ERR9515831/ERR9515831_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/001/ERR9515831/ERR9515831_2.fastq.gz
VBS55026-6781STDY12150144	ERR9515832	/seq/illumina/runs/44/44366/lane1/plex6/44366_1#6.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/002/ERR9515832/ERR9515832_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/002/ERR9515832/ERR9515832_2.fastq.gz
VBS55027-6781STDY12150145	ERR9515833	/seq/illumina/runs/44/44366/lane1/plex7/44366_1#7.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/003/ERR9515833/ERR9515833_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/003/ERR9515833/ERR9515833_2.fastq.gz
VBS55028-6781STDY12150146	ERR9515834	/seq/illumina/runs/44/44366/lane1/plex8/44366_1#8.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/004/ERR9515834/ERR9515834_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/004/ERR9515834/ERR9515834_2.fastq.gz
VBS55029-6781STDY12150147	ERR9515835	/seq/illumina/runs/44/44366/lane1/plex9/44366_1#9.cram			ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/005/ERR9515835/ERR9515835_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR951/005/ERR9515835/ERR9515835_2.fastq.gz
